Year,Actual_Count,Correct_Count,Accuracy,Random_Exp
2007,3,2,0.6666666666666666,0.23684210526315788
2008,2,0,0.0,0.11428571428571428
2009,2,2,1.0,0.12121212121212122
2010,3,1,0.3333333333333333,0.28125
2011,1,0,0.0,0.034482758620689655
2012,1,0,0.0,0.034482758620689655
