FIPS,COUNTY_NAME,STATE_ABBREV,influence_score,eigenvector_centrality
48037,Bowie County,TX,29.22842059900884,1.4661765410739008e-23
48183,Gregg County,TX,29.22842059900884,1.4661765410739008e-23
48485,Wichita County,TX,29.169597069597074,1.4661765410739008e-23
48441,Taylor County,TX,29.102930402930408,1.4661765410739008e-23
48293,Limestone County,TX,29.031501831501835,1.4661765410739008e-23
48363,Palo Pinto County,TX,29.031501831501835,1.4661765410739008e-23
48049,Brown County,TX,29.031501831501835,1.4661765410739008e-23
48179,Gray County,TX,29.031501831501835,1.4661765410739008e-23
48181,Grayson County,TX,29.031501831501835,1.4661765410739008e-23
48199,Hardin County,TX,29.031501831501835,1.4661765410739008e-23
48005,Angelina County,TX,29.031501831501835,1.4661765410739008e-23
48361,Orange County,TX,29.031501831501835,1.4661765410739008e-23
48221,Hood County,TX,29.031501831501835,1.4661765410739008e-23
48373,Polk County,TX,29.031501831501835,1.4661765410739008e-23
48429,Stephens County,TX,29.031501831501835,1.4661765410739008e-23
48469,Victoria County,TX,29.031501831501835,1.4661765410739008e-23
48277,Lamar County,TX,29.031501831501835,1.4661765410739008e-23
48487,Wilbarger County,TX,29.031501831501835,1.4661765410739008e-23
48075,Childress County,TX,29.031501831501835,1.4661765410739008e-23
48423,Smith County,TX,28.920728291316532,0.004086735161459311
48303,Lubbock County,TX,28.778571428571436,0.004086735161459311
48097,Cooke County,TX,28.72380952380953,1.4661765410739008e-23
48347,Nacogdoches County,TX,28.72380952380953,1.4661765410739008e-23
48007,Aransas County,TX,28.72380952380953,1.4661765410739008e-23
48415,Scurry County,TX,28.72380952380953,1.4661765410739008e-23
48053,Burnet County,TX,28.72380952380953,1.4661765410739008e-23
48291,Liberty County,TX,28.72380952380953,1.4661765410739008e-23
48223,Hopkins County,TX,28.72380952380953,1.4661765410739008e-23
48231,Hunt County,TX,28.72380952380953,1.4661765410739008e-23
48245,Jefferson County,TX,28.71190476190477,0.004086735161459311
48449,Titus County,TX,28.640476190476196,1.4661765410739008e-23
48167,Galveston County,TX,28.640476190476196,1.4661765410739008e-23
48365,Panola County,TX,28.640476190476196,1.4661765410739008e-23
48217,Hill County,TX,28.640476190476196,1.4661765410739008e-23
48337,Montague County,TX,28.640476190476196,1.4661765410739008e-23
48213,Henderson County,TX,28.640476190476196,1.4661765410739008e-23
48001,Anderson County,TX,28.640476190476196,1.4661765410739008e-23
48451,Tom Green County,TX,28.640476190476196,1.4661765410739008e-23
48265,Kerr County,TX,28.640476190476196,1.4661765410739008e-23
48249,Jim Wells County,TX,28.640476190476196,1.4661765410739008e-23
48375,Potter County,TX,28.437394957983198,0.004086735161459311
48299,Llano County,TX,28.240476190476194,1.4661765410739008e-23
48419,Shelby County,TX,28.240476190476194,1.4661765410739008e-23
48135,Ector County,TX,28.240476190476194,1.4661765410739008e-23
48267,Kimble County,TX,28.240476190476194,1.4661765410739008e-23
48171,Gillespie County,TX,28.240476190476194,7.406114941470979e-05
48495,Winkler County,TX,28.240476190476194,1.4661765410739008e-23
48043,Brewster County,TX,28.240476190476194,1.4661765410739008e-23
48143,Erath County,TX,28.240476190476194,1.4661765410739008e-23
48063,Camp County,TX,28.240476190476194,1.4661765410739008e-23
48425,Somervell County,TX,27.990476190476194,1.4661765410739008e-23
48285,Lavaca County,TX,27.990476190476194,1.4661765410739008e-23
48405,San Augustine County,TX,27.990476190476194,1.4661765410739008e-23
48057,Calhoun County,TX,26.69816849816851,0.08682625827005704
48313,Madison County,TX,24.990476190476194,0.09490335703986007
48343,Morris County,TX,24.8404761904762,1.4661765410739008e-23
48133,Eastland County,TX,24.633333333333322,1.4661765410739008e-23
48483,Wheeler County,TX,24.13333333333334,0.09490335703986007
48197,Hardeman County,TX,22.798168498168486,0.3476616482228924
48499,Wood County,TX,22.731501831501827,0.10696771144961789
48455,Trinity County,TX,22.15714285714287,0.09490335703986007
48503,Young County,TX,21.982539682539674,0.08682625827005704
48013,Atascosa County,TX,21.582539682539668,0.08682625827005704
48139,Ellis County,TX,20.899999999999988,0.08682625827005704
48219,Hockley County,TX,20.116666666666664,0.18075132785777615
48233,Hutchinson County,TX,19.107142857142854,0.12235716230594118
48093,Comanche County,TX,18.666666666666664,0.14897050086705962
48411,San Saba County,TX,18.666666666666664,0.13358105001073628
48329,Midland County,TX,18.666666666666664,0.13358105001073628
48241,Jasper County,TX,18.5,1.4661765410739008e-23
21193,Perry County,KY,18.399133627810098,1.4661765410739008e-23
21145,Mccracken County,KY,18.399133627810098,1.4661765410739008e-23
21195,Pike County,KY,18.336633627810098,1.3041551978446573e-10
21013,Bell County,KY,18.21898656898657,1.4661765410739008e-23
21235,Whitley County,KY,18.21898656898657,1.4661765410739008e-23
21071,Floyd County,KY,18.21898656898657,1.4661765410739008e-23
21051,Clay County,KY,18.147557997557996,2.762453835520867e-10
21131,Leslie County,KY,18.147557997557996,1.4661765410739008e-23
21025,Breathitt County,KY,18.147557997557996,1.4661765410739008e-23
21115,Johnson County,KY,18.147557997557996,1.4661765410739008e-23
21075,Fulton County,KY,18.147557997557996,1.4661765410739008e-23
21129,Lee County,KY,18.07063492063492,1.4661765410739008e-23
21095,Harlan County,KY,18.07063492063492,1.4661765410739008e-23
21021,Boyle County,KY,18.07063492063492,1.4661765410739008e-23
21207,Russell County,KY,18.07063492063492,1.4661765410739008e-23
21107,Hopkins County,KY,18.07063492063492,1.4661765410739008e-23
21231,Wayne County,KY,18.07063492063492,1.4661765410739008e-23
21041,Carroll County,KY,18.07063492063492,1.4661765410739008e-23
