CDC Archive
This page is archived for historical purposes and is no longer being updated.

This is archived content from the CDC website. The information here may be outdated and links may no longer function. Go to CDC Home for all other recent information.

View in CDC ArchiveGo to CDC Archive Home Page
Skip directly to site contentSkip directly to search
U.S. County Opioid Dispensing Rates, 2007
Print
Related Pages
< U.S. County Opioid Dispensing Rates, 2006

U.S. Opioid Dispensing Rate Maps

U.S. County Opioid Dispensing Rates, 2008 >

US County Dispensing Rates, 2007
About the Maps
For detailed information about these maps, including data sources, please visit the U.S. Opioid Dispensing Rate Maps page.

U.S. County Opioid Dispensing Rates, 2007
County	State	County FIPS Code	Opioid Dispensing Rate per 100
Saline, AR	AR	05125	98.7
Scott, AR	AR	05127	195.8
Searcy, AR	AR	05129	32.6
Sebastian, AR	AR	05131	196.6
Sevier, AR	AR	05133	33.5
Sharp, AR	AR	05135	150.8
Stone, AR	AR	05137	117.0
Union, AR	AR	05139	124.2
Van Buren, AR	AR	05141	69.9
Washington, AR	AR	05143	102.8
White, AR	AR	05145	124.4
Woodruff, AR	AR	05147	6.2
Yell, AR	AR	05149	28.1
Apache, AZ	AZ	04001	8.6
Cochise, AZ	AZ	04003	76.7
Coconino, AZ	AZ	04005	55.0
Gila, AZ	AZ	04007	120.7
Graham, AZ	AZ	04009	123.1
Greenlee, AZ	AZ	04011	–
La Paz, AZ	AZ	04012	60.3
Maricopa, AZ	AZ	04013	75.5
Mohave, AZ	AZ	04015	124.2
Navajo, AZ	AZ	04017	73.8
Pima, AZ	AZ	04019	88.0
Pinal, AZ	AZ	04021	68.0
Santa Cruz, AZ	AZ	04023	31.5
Yavapai, AZ	AZ	04025	97.6
Yuma, AZ	AZ	04027	56.7
Alameda, CA	CA	06001	42.2
Alpine, CA	CA	06003	–
Amador, CA	CA	06005	116.5
Butte, CA	CA	06007	156.6
Calaveras, CA	CA	06009	89.4
Colusa, CA	CA	06011	35.0
Contra Costa, CA	CA	06013	53.5
Del Norte, CA	CA	06015	135.3
El Dorado, CA	CA	06017	80.5
Fresno, CA	CA	06019	64.1
Glenn, CA	CA	06021	104.1
Humboldt, CA	CA	06023	130.9
Imperial, CA	CA	06025	51.9
Inyo, CA	CA	06027	70.9
Kern, CA	CA	06029	63.7
Kings, CA	CA	06031	65.2
Lake, CA	CA	06033	151.8
Lassen, CA	CA	06035	95.1
Los Angeles, CA	CA	06037	40.8
Madera, CA	CA	06039	52.5
Marin, CA	CA	06041	56.6
Mariposa, CA	CA	06043	27.6
Mendocino, CA	CA	06045	121.6
Merced, CA	CA	06047	62.7
