CDC Archive
This page is archived for historical purposes and is no longer being updated.

This is archived content from the CDC website. The information here may be outdated and links may no longer function. Go to CDC Home for all other recent information.

View in CDC ArchiveGo to CDC Archive Home Page
Skip directly to site contentSkip directly to search
U.S. County Opioid Dispensing Rates, 2006
Print
Related Pages
U.S. Opioid Dispensing Rate Maps

U.S. County Opioid Dispensing Rates, 2007 >

US County Prescribing Rates, 2006
About the Maps
For detailed information about these maps, including data sources, please visit the U.S. Opioid Dispensing Rate Maps page.

U.S. County Opioid Dispensing Rates, 2006
County	State	County FIPS Code	Opioid Dispensing Rate per 100
Scott, AR	AR	05127	194.4
Searcy, AR	AR	05129	–
Sebastian, AR	AR	05131	171.7
Sevier, AR	AR	05133	28.5
Sharp, AR	AR	05135	157.1
Stone, AR	AR	05137	120.1
Union, AR	AR	05139	115.3
Van Buren, AR	AR	05141	69.0
Washington, AR	AR	05143	94.2
White, AR	AR	05145	103.9
Woodruff, AR	AR	05147	–
Yell, AR	AR	05149	24.2
Apache, AZ	AZ	04001	16.0
Cochise, AZ	AZ	04003	70.3
Coconino, AZ	AZ	04005	55.1
Gila, AZ	AZ	04007	109.4
Graham, AZ	AZ	04009	99.6
Greenlee, AZ	AZ	04011	–
La Paz, AZ	AZ	04012	52.1
Maricopa, AZ	AZ	04013	71.7
Mohave, AZ	AZ	04015	117.2
Navajo, AZ	AZ	04017	67.6
Pima, AZ	AZ	04019	86.3
Pinal, AZ	AZ	04021	69.0
Santa Cruz, AZ	AZ	04023	31.5
Yavapai, AZ	AZ	04025	93.7
Yuma, AZ	AZ	04027	46.9
Alameda, CA	CA	06001	39.7
Alpine, CA	CA	06003	–
Amador, CA	CA	06005	105.0
Butte, CA	CA	06007	154.1
Calaveras, CA	CA	06009	87.5
Colusa, CA	CA	06011	32.2
Contra Costa, CA	CA	06013	50.6
Del Norte, CA	CA	06015	127.1
El Dorado, CA	CA	06017	83.1
Fresno, CA	CA	06019	61.5
Glenn, CA	CA	06021	84.1
Humboldt, CA	CA	06023	132.3
Imperial, CA	CA	06025	51.7
Inyo, CA	CA	06027	76.0
Kern, CA	CA	06029	59.3
Kings, CA	CA	06031	60.0
Lake, CA	CA	06033	139.0
Lassen, CA	CA	06035	105.3
Los Angeles, CA	CA	06037	37.9
Madera, CA	CA	06039	48.6
Marin, CA	CA	06041	55.7
Mariposa, CA	CA	06043	33.2
Mendocino, CA	CA	06045	114.1
Merced, CA	CA	06047	60.6
Modoc, CA	CA	06049	114.4
Mono, CA	CA	06051	59.7
Monterey, CA	CA	06053	62.5
Napa, CA	CA	06055	40.2
Nevada, CA	CA	06057	101.0
Orange, CA	CA	06059	48.3
Placer, CA	CA	06061	75.5
Plumas, CA	CA	06063	106.1
Riverside, CA	CA	06065	53.2
Sacramento, CA	CA	06067	57.9
San Benito, CA	CA	06069	49.3
San Bernardino, CA	CA	06071	47.5
San Diego, CA	CA	06073	44.0
San Francisco, CA	CA	06075	42.7
San Joaquin, CA	CA	06077	60.5
San Luis Obispo, CA	CA	06079	77.9
San Mateo, CA	CA	06081	39.3
Santa Barbara, CA	CA	06083	66.7
Santa Clara, CA	CA	06085	30.3
Santa Cruz, CA	CA	06087	77.2
Shasta, CA	CA	06089	179.6
Sierra, CA	CA	06091	–
Siskiyou, CA	CA	06093	107.3
Solano, CA	CA	06095	48.3
Sonoma, CA	CA	06097	70.1
Stanislaus, CA	CA	06099	98.4
Sutter, CA	CA	06101	134.3
Tehama, CA	CA	06103	109.4
Trinity, CA	CA	06105	120.5
Tulare, CA	CA	06107	72.1
Tuolumne, CA	CA	06109	126.3
